count,state,sex,work_status,exercise
277,Iowa,male,non_working,23
278,Kansas,male,non_working,16
279,Kentucky,male,non_working,9
280,Louisiana,male,non_working,15
281,Maine,male,non_working,NA
282,Maryland,male,non_working,26
283,Massachusetts,male,non_working,25
284,Michigan,male,non_working,21
285,Minnesota,male,non_working,32
286,Mississippi,male,non_working,13
287,Missouri,male,non_working,20
288,Montana,male,non_working,10
289,Nebraska,male,non_working,33
290,Nevada,male,non_working,22
291,New Hampshire,male,non_working,29
292,New Jersey,male,non_working,17
293,New Mexico,male,non_working,19
294,New York,male,non_working,15
295,North Carolina,male,non_working,19
296,North Dakota,male,non_working,NA
297,Ohio,male,non_working,24
298,Oklahoma,male,non_working,21
299,Oregon,male,non_working,21
300,Pennsylvania,male,non_working,19
301,Rhode Island,male,non_working,22
302,South Carolina,male,non_working,12
303,South Dakota,male,non_working,28
304,Tennessee,male,non_working,10
305,Texas,male,non_working,25
306,Utah,male,non_working,22
307,Vermont,male,non_working,21
308,Virginia,male,non_working,16
309,Washington,male,non_working,25
310,West Virginia,male,non_working,14
311,Wisconsin,male,non_working,21
312,Wyoming,male,non_working,17
313,state_average,female,non_working,14
314,Alabama,female,non_working,13
315,Alaska,female,non_working,17
316,Arizona,female,non_working,16
317,Arkansas,female,non_working,9
318,California,female,non_working,15
319,Colorado,female,non_working,27
320,Connecticut,female,non_working,13
321,Delaware,female,non_working,11
322,District of Columbia,female,non_working,18
323,Florida,female,non_working,12
324,Georgia,female,non_working,12
325,Hawaii,female,non_working,14
326,Idaho,female,non_working,28
327,Illinois,female,non_working,15
328,Indiana,female,non_working,5
329,Iowa,female,non_working,16
330,Kansas,female,non_working,16
331,Kentucky,female,non_working,5
332,Louisiana,female,non_working,14
333,Maine,female,non_working,11
334,Maryland,female,non_working,11
335,Massachusetts,female,non_working,18
336,Michigan,female,non_working,13
337,Minnesota,female,non_working,15
338,Mississippi,female,non_working,8
339,Missouri,female,non_working,17
340,Montana,female,non_working,NA
341,Nebraska,female,non_working,18
342,Nevada,female,non_working,19
343,New Hampshire,female,non_working,28
344,New Jersey,female,non_working,13
345,New Mexico,female,non_working,14
346,New York,female,non_working,11
347,North Carolina,female,non_working,17
348,North Dakota,female,non_working,NA
349,Ohio,female,non_working,13
350,Oklahoma,female,non_working,14
351,Oregon,female,non_working,15
352,Pennsylvania,female,non_working,18
353,Rhode Island,female,non_working,12
354,South Carolina,female,non_working,6
355,South Dakota,female,non_working,NA
356,Tennessee,female,non_working,12
357,Texas,female,non_working,14
358,Utah,female,non_working,27
359,Vermont,female,non_working,15
360,Virginia,female,non_working,16
361,Washington,female,non_working,20
362,West Virginia,female,non_working,8
363,Wisconsin,female,non_working,14
364,Wyoming,female,non_working,13
